CNAE;DESCRIÇÃO;incomodidade_MEI
4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
4713002;Lojas de variedades, exceto lojas de departamentos ou magazines;1
4721102;Padaria e confeitaria com predominância de revenda;1
4721103;Comércio varejista de laticínios e frios;1
4721104;Comércio varejista de doces, balas, bombons e semelhantes;1
4722901;Comércio varejista de carnes - açougues;1
4722902;Peixaria;1
4723700;Comércio varejista de bebidas;1
4724500;Comércio varejista de hortifrutigranjeiros;1
4729601;Tabacaria;1
4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
4732600;Comércio varejista de lubrificantes;1
4741500;Comércio varejista de tintas e materiais para pintura;1
4742300;Comércio varejista de material elétrico;1
4743100;Comércio varejista de vidros;1
4744001;Comércio varejista de ferragens e ferramentas;1
4744002;Comércio varejista de madeira e artefatos;2
4744003;Comércio varejista de materiais hidráulicos;1
4744004;Comércio varejista de cal, areia, pedra britada, tijolos e telhas;2
4744099;Comércio varejista de materiais de construção em geral;2
4751200;Comércio varejista especializado de equipamentos e suprimentos de informática;1
4752100;Comércio varejista especializado de equipamentos de telefonia e comunicação;1
4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
4754701;Comércio varejista de móveis;1
4754702;Comércio varejista de artigos de colchoaria;1
4754703;Comércio varejista de artigos de iluminação;1
4755501;Comércio varejista de tecidos;1
4755502;Comercio varejista de artigos de armarinho;1
4755503;Comercio varejista de artigos de cama, mesa e banho;1
4756300;Comércio varejista especializado de instrumentos musicais e acessórios;1
4757100;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;1
4759801;Comércio varejista de artigos de tapeçaria, cortinas e persianas;1
4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;1
4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;1
4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;1
4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;1
4761001;Comércio varejista de livros;1
4761002;Comércio varejista de jornais e revistas;1
4761003;Comércio varejista de artigos de papelaria;1
4762800;Comércio varejista de discos, CDs, DVDs e fitas;1
4763601;Comércio varejista de brinquedos e artigos recreativos;1
4763602;Comércio varejista de artigos esportivos;1
4763603;"Comércio varejista de bicicletas e triciclos; peças e acessórios";1
4763604;Comércio varejista de artigos de caça, pesca e camping;1
4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
4771702;Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;1
4771703;Comércio varejista de produtos farmacêuticos homeopáticos;1
4771704;Comércio varejista de medicamentos veterinários;1
4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
4773300;Comércio varejista de artigos médicos e ortopédicos;1
4774100;Comércio varejista de artigos de óptica;1
4781400;Comércio varejista de artigos do vestuário e acessórios;1
4782201;Comércio varejista de calçados;1
4782202;Comércio varejista de artigos de viagem;1
4783101;Comércio varejista de artigos de joalheria;1
4783102;Comércio varejista de artigos de relojoaria;1
4784900;Comércio varejista de gás liqüefeito de petróleo (GLP);2
4785701;Comércio varejista de antigüidades;1
4785799;Comércio varejista de outros artigos usados;1
4789001;Comércio varejista de suvenires, bijuterias e artesanatos;1
4789002;Comércio varejista de plantas e flores naturais;1
4789003;Comércio varejista de objetos de arte;1
4789004;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
4789005;Comércio varejista de produtos saneantes domissanitários;1
4789006;Comércio varejista de fogos de artifício e artigos pirotécnicos;3
4789007;Comércio varejista de equipamentos para escritório;1
4789008;Comércio varejista de artigos fotográficos e para filmagem;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;2
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;2
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4789099;Comércio varejista de outros produtos não especificados anteriormente;1
4923001;Serviço de táxi;1
4923001;Serviço de táxi;1
4924800;Transporte escolar;1
4929901;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2
4929903;Organização de excursões em veículos rodoviários próprios, municipal;1
4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;1
4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
4930204;Transporte rodoviário de mudanças;2
5011401;Transporte marítimo de cabotagem - Carga;5
5021101;Transporte por navegação interior de carga, municipal, exceto travessia;5
5091201;Transporte por navegação de travessia, municipal;5
5099801;Transporte aquaviário para passeios turísticos;1
5099899;Outros transportes aquaviários não especificados anteriormente;1
5211702;Guarda-móveis;2
5212500;Carga e descarga;2
5223100;Estacionamento de veículos;1
5229002;Serviços de reboque de veículos;2
5310502;Atividades de franqueadas e permissionárias do Correio Nacional;1
5320201;Serviços de malote não realizados pelo Correio Nacional;2
5320202;Serviços de entrega rápida;1
5320202;Serviços de entrega rápida;2
5590601;Albergues, exceto assistenciais;1
5590602;Campings;2
5590603;Pensões (alojamento);2
5590699;Outros alojamentos não especificados anteriormente;2
5611201;Restaurantes e similares;1
5611202;Bares e outros estabelecimentos especializados em servir bebidas;2
5611203;Lanchonetes, casas de chá, de sucos e similares;2
5611203;Lanchonetes, casas de chá, de sucos e similares;2
5611203;Lanchonetes, casas de chá, de sucos e similares;2
5612100;Serviços ambulantes de alimentação;5
5612100;Serviços ambulantes de alimentação;5
5612100;Serviços ambulantes de alimentação;5
5612100;Serviços ambulantes de alimentação;5
5612100;Serviços ambulantes de alimentação;5
5620101;Fornecimento de alimentos preparados preponderantemente para empresas;2
5620101;Fornecimento de alimentos preparados preponderantemente para empresas;2
5620102;Serviços de alimentação para eventos e recepções - bufê;1
5620102;Serviços de alimentação para eventos e recepções - bufê;1
5620103;Cantinas - serviços de alimentação privativos;1
5620104;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
